Time,Reference,Target
16.4,0,0
16.42,0,0
16.44,0,0
16.46,0,0
16.48,0,0
16.5,0,0
16.52,0,0
16.54,0,0
16.56,0,0
16.58,0,0
16.6,0,0
16.62,0,0
16.64,0,0
16.66,0,0
16.68,0,0
16.7,0,0
16.72,0,0
16.74,0,0
16.76,0,0
16.78,0,0
16.8,0,0
16.82,0,0
16.84,0,0
16.86,0,0
16.88,0,0
16.9,0,0
16.92,0,0
16.94,0,0
16.96,0,0
16.98,0,0
17,0,0
17.02,0,0
17.04,0,0
17.06,0,0
17.08,0,0
17.1,0,0
17.12,0,0
17.14,0,0
17.16,0,0
17.18,0,0
17.2,0,0
17.22,0,0
17.24,0,0
17.26,0,0
17.28,0,0
17.3,0,0
17.32,0,0
17.34,0,0
17.36,0,0
17.38,0,0
17.4,0,0
17.42,0,0
17.44,0,0
17.46,0,0
17.48,0,0
17.5,0,0
17.52,0,0
17.54,0,0
17.56,0,0
17.58,0,0
17.6,0,0
17.62,0,0
17.64,0,0
17.66,0,0
17.68,0,0
17.7,0,0
17.72,0,0
17.74,0,0
17.76,0,0
17.78,0,0
17.8,0,0
17.82,0,0
17.84,0,0
17.86,0,0
17.88,0,0
17.9,0,0
17.92,0,0
17.94,0,0
17.96,0,0
17.98,0,0
18,0,0
18.02,0,0
18.04,0,0
18.06,0,0
18.08,0,0
18.1,0,0
18.12,0,0
18.14,0,0
18.16,0,0
18.18,0,0
18.2,0,0
18.22,0,0
18.24,0,0
18.26,0,0
18.28,0,0
18.3,0,0
18.32,0,0
18.34,0,0
18.36,0,0
18.38,0,0
18.4,4.96,4.96
18.42,7.06,7.06
18.44,8.96,8.96
18.46,10.59,10.59
18.48,11.87,11.87
18.5,12.64,12.64
18.52,13.03,13.03
18.54,13.21,13.21
18.56,13.46,13.46
18.58,13.52,13.52
18.6,13.62,13.62
18.62,14.45,14.45
18.64,15.4,15.4
18.66,16.25,16.25
18.68,16.72,16.72
18.7,16.79,16.79
18.72,16.86,16.86
18.74,17.93,17.93
18.76,18.85,18.85
18.78,19.79,19.79
18.8,20.79,20.79
18.82,21.96,21.96
18.84,23.28,23.28
18.86,24.57,24.57
18.88,25.85,25.85
18.9,27.28,27.28
18.92,27.8,27.8
18.94,28.52,28.52
18.96,29.59,29.59
18.98,31.89,31.89
19,33.04,33.04
19.02,34.15,34.15
19.04,35.1,35.1
19.06,36.17,36.17
19.08,36.91,36.91
19.1,37.37,
19.12,37.93,
19.14,38.5,
19.16,39.25,
19.18,40.16,40.16
19.2,41.15,
19.22,42.11,
19.24,43.16,
19.26,44.27,44.27
19.28,45.09,
19.3,45.82,
19.32,46.52,46.52
19.34,46.86,46.86
19.36,47.18,47.18
19.38,47.66,47.66
19.4,48.29,48.29
19.42,49.08,49.08
